ep_id;people_id;is_rea;is_scenar
1;3;True;True
2;3;True;True
3;3;True;True
4;3;True;True
5;3;True;True
6;3;True;True
7;3;True;True
8;3;True;True
9;3;True;True
10;3;True;True
11;3;True;True
12;3;True;True
13;3;True;True
14;3;True;True
15;3;True;True
15;43;False;True
16;3;True;True
17;3;True;False
17;43;False;True
18;3;True;True
19;3;True;True
20;3;True;True
21;3;True;True
22;3;True;True
23;3;True;True
24;3;True;True
25;3;True;True
26;3;True;True
27;3;True;True
28;3;True;True
29;3;True;True
30;3;True;True
31;3;True;True
32;3;True;True
33;3;True;True
34;3;True;True
35;3;True;True
36;3;True;True
37;3;True;True
38;3;True;True
39;3;True;True
40;3;True;False
40;43;False;True
41;3;True;True
42;3;True;True
43;3;True;True
44;3;True;True
45;3;True;True
46;3;True;False
46;43;False;True
47;3;True;True
48;3;True;True
49;3;True;True
50;3;True;True
